text.html.edge	edge.json	
text.html.erb	erb.json	erb,rhtml
text.html.handlebars	handlebars.json	
text.html.jinja	jinja-html.json	
text.html.liquid	liquid.json	liquid
text.html.markdown	markdown.json	
text.html.php.blade	blade.json	php
text.html.soy	soy.json	soy
text.html.twig	twig.json	twig
text.html.vue-html	vue-html.json	
text.log	log.json	log
text.markdown.mdc.standalone	mdc.json	
text.marko	marko.json	marko
text.pug	pug.json	
text.shell-session	shellsession.json	sh-session
text.tex	tex.json	
text.tex.latex	latex.json	
text.tsv	tsv.json	tsv,tab
text.xml	xml.json	
text.xml.xsl	xsl.json	
vue.directives	vue-directives.json	
vue.interpolations	vue-interpolations.json	
vue.sfc.style.variable.injection	vue-sfc-style-variable-injection.json	
